"","V1","V2","V3"
"1",1,1,1
"2",0.374346916726633,0.374346915837992,0.374346916668907
"3",0.775381889967156,0.775381890161503,0.775381889957023
"4",-0.977660872067137,-0.97766087224522,-0.977660872101575
"5",0.061512627302124,0.06151262726411,0.0615126272854469
"6",0.53618888107014,0.536188880845634,0.536188881085903
"7",0.451289676342702,0.451289675243153,0.45128967627158
"8",0.892441424742466,0.892441425098544,0.892441424745946
"9",-0.851874486067895,-0.851874485868417,-0.851874486081514
"10",0.342468544802514,0.342468543842798,0.342468544752031
"11",0.559887390572465,0.55988739058488,0.559887390554903
"12",0.601580870338066,0.601580870597008,0.601580870328478
"13",0.68658057888138,0.686580578154795,0.68658057884517
"14",-0.938063391490804,-0.938063392171201,-0.93806339151767
"15",0.567924841948895,0.567924841289351,0.567924841929415
"16",0.526795751126259,0.526795751497436,0.526795751150248
"17",0.0609361132775789,0.0609361132868296,0.0609361132618151
"18",0.539131725934236,0.539131725458328,0.53913172590926
"19",-0.567655872134501,-0.567655872859334,-0.567655872162975
"20",0.210984923088685,0.210984922369927,0.210984923046677
"21",0.792180490604478,0.792180490471358,0.792180490625012
"22",0.563332981633006,0.563332981697987,0.563332981606746
"23",0.941319076110172,0.941319076445809,0.941319076111569
"24",-1.08394960003762,-1.08394960020426,-1.08394960007189
"25",0.399933907660293,0.39993390757401,0.399933907639729
"26",0.891908984195711,0.891908984540918,0.891908984209509
"27",0.516122721550692,0.516122721006135,0.516122721519201
"28",0.629407056184707,0.629407056477891,0.629407056171635
"29",-0.947139320091703,-0.94713932037253,-0.947139320128455
"30",0.348010408925123,0.348010408848449,0.3480104089052
"31",0.627848595980476,0.627848596553264,0.627848596018428
"32",0.531738374173997,0.531738373460301,0.531738374128075
"33",0.697850078037215,0.697850077819529,0.697850078025952
"34",-0.790137619052858,-0.790137619877803,-0.790137619100924
"35",0.293175980590384,0.293175979834432,0.293175980544518
"36",0.657559721027745,0.657559721183653,0.657559721024351
"37",0.658964674702277,0.658964674859527,0.658964674682029
"38",0.728099465299874,0.728099464562173,0.728099465262866
"39",-1.06036914325347,-1.06036914411601,-1.06036914329776
"40",0.354072982144182,0.354072981326837,0.354072982105623
"41",0.937582901082254,0.937582900957868,0.937582901101684
"42",0.394552855891176,0.394552856425589,0.394552855906087
"43",0.660741651754683,0.66074165089276,0.660741651706608
"44",-0.87448730564971,-0.87448730573405,-0.874487305671542
"45",0.508752007506522,0.508752007419672,0.508752007478685
"46",0.61056412072487,0.610564120508644,0.610564120733226
"47",0.656210027214206,0.656210027303737,0.656210027191701
"48",0.684876051020043,0.68487605104631,0.684876050995587
"49",-0.591598222166283,-0.591598222448621,-0.591598222205065
"50",0.274959280948466,0.274959280758183,0.274959280919619
"51",0.683689037737879,0.683689037969903,0.68368903774887
"52",0.463291795051951,0.463291794016848,0.463291794981975
"53",0.67708273970168,0.677082738971851,0.677082739665673
"54",-1.10120424784482,-1.10120424865062,-1.10120424788515
"55",0.27096878929578,0.270968789175471,0.270968789267872
"56",0.782291236048289,0.782291235542534,0.782291236038087
"57",0.622763158924315,0.622763158596756,0.622763158913509
"58",0.617665858365362,0.617665858643749,0.617665858356178
"59",-0.826268173972102,-0.826268174618202,-0.826268174001403
"60",0.604120138563872,0.604120137975494,0.604120138547518
